-----------------------------------------------------------------------------------------------------------------------------

Elevation report for the  watershed     1/1/0001 10:22:35 PM     10/17/2025 12:00:00 AM

-----------------------------------------------------------------------------------------------------------------------------


Statistics:: All elevations reported in meters
-----------

  Min.    Elevation: 1117
  Max.    Elevation: 4070
  Mean.   Elevation: 1688.44240796514
  Std.    Deviation: 551.400668896545

                    Elevation          % Area Below Elevation         % Area Watershed

                    1117                     .01                      .01
                    1118                     .02                      .01
                    1119                     .05                      .03
                    1120                     .08                      .03
                    1121                     .12                      .04
                    1122                     .15                      .03
                    1123                     .18                      .03
                    1124                     .21                      .03
                    1125                     .29                      .08
                    1126                     .33                      .04
                    1127                     .36                      .04
                    1128                     .4                       .03
                    1129                     .44                      .04
                    1130                     .48                      .04
                    1131                     .52                      .04
                    1132                     .58                      .06
                    1133                     .62                      .05
                    1134                     .68                      .06
                    1135                     .72                      .04
                    1136                     .76                      .04
                    1137                     .8                       .04
                    1138                     .84                      .04
                    1139                     .92                      .08
                    1140                     .97                      .05
                    1141                     1.03                      .06
                    1142                     1.07                      .05
                    1143                     1.13                      .06
                    1144                     1.18                      .04
                    1145                     1.25                      .08
                    1146                     1.32                      .07
                    1147                     1.38                      .06
                    1148                     1.44                      .06
                    1149                     1.5                       .06
                    1150                     1.59                      .09
                    1151                     1.66                      .07
                    1152                     1.74                      .08
                    1153                     1.82                      .08
                    1154                     1.93                      .11
                    1155                     2.01                      .08
                    1156                     2.11                      .1
                    1157                     2.2                       .09
                    1158                     2.3                       .1
                    1159                     2.4                       .1
                    1160                     2.56                      .16
                    1161                     2.67                      .12
                    1162                     2.79                      .11
                    1163                     2.91                      .12
                    1164                     3.03                      .12
                    1165                     3.15                      .12
                    1166                     3.32                      .16
                    1167                     3.46                      .14
                    1168                     3.59                      .13
                    1169                     3.73                      .14
                    1170                     3.92                      .19
                    1171                     4.08                      .16
                    1172                     4.22                      .14
                    1173                     4.36                      .14
                    1174                     4.54                      .18
                    1175                     4.71                      .17
                    1176                     4.89                      .17
                    1177                     5.05                      .16
                    1178                     5.21                      .16
                    1179                     5.35                      .14
                    1180                     5.5                       .15
                    1181                     5.64                      .15
                    1182                     5.76                      .12
                    1183                     5.91                      .15
                    1184                     6.07                      .16
                    1185                     6.24                      .17
                    1186                     6.39                      .16
                    1187                     6.56                      .16
                    1188                     6.71                      .15
                    1189                     6.85                      .14
                    1190                     7.02                      .17
                    1191                     7.19                      .17
                    1192                     7.36                      .17
                    1193                     7.52                      .16
                    1194                     7.7                       .17
                    1195                     7.86                      .17
                    1196                     8.02                      .16
                    1197                     8.18                      .17
                    1198                     8.35                      .16
                    1199                     8.51                      .17
                    1200                     8.68                      .16
                    1201                     8.85                      .17
                    1202                     9.01                      .16
                    1203                     9.2                       .19
                    1204                     9.36                      .16
                    1205                     9.54                      .18
                    1206                     9.72                      .17
                    1207                     9.93                      .21
                    1208                     10.14                     .21
                    1209                     10.32                     .19
                    1210                     10.51                     .19
                    1211                     10.7                      .18
                    1212                     10.89                     .19
                    1213                     11.08                     .19
                    1214                     11.28                     .19
                    1215                     11.46                     .19
                    1216                     11.67                     .21
                    1217                     11.89                     .21
                    1218                     12.1                      .21
                    1219                     12.33                     .23
                    1220                     12.52                     .19
                    1221                     12.72                     .2
                    1222                     12.91                     .19
                    1223                     13.1                      .19
                    1224                     13.29                     .19
                    1225                     13.47                     .18
                    1226                     13.66                     .19
                    1227                     13.84                     .18
                    1228                     14.03                     .19
                    1229                     14.22                     .18
                    1230                     14.41                     .2
                    1231                     14.6                      .19
                    1232                     14.79                     .19
                    1233                     14.98                     .18
                    1234                     15.17                     .2
                    1235                     15.36                     .18
                    1236                     15.54                     .18
                    1237                     15.73                     .19
                    1238                     15.91                     .19
                    1239                     16.1                      .19
                    1240                     16.28                     .18
                    1241                     16.45                     .17
                    1242                     16.63                     .18
